"","site_ID","daily_p_TE","mean_TE","mean_sig_TE","daily_agg_TE","var_TE","sk_TE","best_lag","mem1","mem2","mem3","mem4","mem5","cv_TE","ac1_TE","RB_id_TE","H_TE"
"152","US-xSC",5.50306525207475,4.29751219964471,4.29751219964471,102.099658503049,0.542545450236431,8.73195386781681e-05,1,72,73,72,72,72,0.171396103582537,0.907971094234951,0.0556545047584065,6.16875466864981
"153","US-xSE",3.17212414400639,2.04874348433087,2.04874348433087,48.8377103759166,0.440809925861559,0.415925147526023,0,72,73,72,72,72,0.324069453814456,0.938985544799009,0.0833971868447857,6.11641542999631
"154","US-xSJ",1.91210779425312,1.2246374781263,1.31290769159707,23.6024171748852,0.0731803993696014,0.654568947445572,0,6,6,6,56,6,0.220897012029074,0.86882991611234,0.0897870440457227,6.15605083893094
"155","US-xSL",2.12961892772775,1.27944875182173,1.27944875182173,30.3942815170728,0.12708588241649,0.984091048013341,0,72,73,72,72,72,0.278628642756022,0.895524945597785,0.0975564379298296,6.13815029638707
"156","US-xSR",3.14535330421035,1.90727231705936,1.90727231705936,45.1570007392161,0.211942792003436,1.04937485749121,0,72,73,72,72,72,0.241377408514293,0.867481020316193,0.090467980628526,6.15092959235299
"157","US-xST",3.36370772719679,2.07668881466613,2.07668881466613,50.0137253522728,0.369313421479751,0.489167280540349,0,72,73,72,72,72,0.292634901587883,0.928557770261676,0.0872034742002399,6.13021193677123
"158","US-xTA",3.43092546057859,2.25415783562308,2.26392713534306,53.5655320740973,0.269899165581232,0.567376225452573,0,61,61,61,71,61,0.230471086378756,0.905283510984598,0.0745687089888572,6.15305010055833
"159","US-xTR",2.92058209410446,2.0556442947398,2.0556442947398,49.1203010751839,0.187060808132638,0.45142065184637,1,72,73,72,72,72,0.210398885931842,0.913153751366687,0.0660365718720573,6.15887922705951
"160","US-xUK",1.96643283884686,1.54619545820689,1.62178921678766,32.7858225702114,0.0400886563064895,-0.387541758422158,1,13,13,12,58,13,0.129493019157331,0.796304804769074,0.0682626611472541,6.17760643432259
"161","US-xUN",2.71697746914826,1.49075199803876,1.56513993657552,32.5585351560998,0.254224359950625,0.673165891010563,0,12,12,12,64,12,0.338223034141526,0.917451371031593,0.0966398139414049,6.11169552859569
"162","US-xWD",1.76259699308755,1.10698716011334,1.10698716011334,26.2807968654489,0.0874418228314924,0.712915164962633,0,72,73,72,72,72,0.267126526933339,0.921435522808438,0.0780891910568392,6.14113674279833
"163","US-xYE",2.51505032489781,1.92975372567827,1.95494982714926,44.2321740162494,0.075166338566591,0.45043366736792,23,14,22,14,68,37,0.142072430377678,0.783693485409704,0.0734963056685976,6.17566981102573
