"","site_ID","daily_p_TE","mean_TE","mean_sig_TE","daily_agg_TE","var_TE","sk_TE","best_lag","mem1","mem2","mem3","mem4","mem5","cv_TE","ac1_TE","RB_id_TE","H_TE"
"77","US-PFq",6.58905491866641,5.84131854824636,6.15401392782143,96.7437597951513,0.34226193091293,0.171952097898875,14,4,11,8,46,22,0.100154025020079,0.642060142897324,0.0682063521368845,6.18269982696576
"78","US-PFt",5.77628617441824,4.30215861412151,4.78753141900434,66.4959745366093,0.364908574008622,0.600178220799857,22,8,5,4,35,26,0.140412449524595,0.55811462782031,0.100291289776078,6.17609501234353
"79","US-PSH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","US-PSL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","US-RGA",1.14418871083916,0.937241910676586,0.943325956613161,22.4063998621621,0.00948543884187653,-0.191930969332743,4,19,19,15,70,19,0.103914706041752,0.667431170829043,0.0678231965357066,6.18205204156588
"82","US-RGB",0.84257735546559,0.674643899145574,0.734962741263114,10.1565267660058,0.0122742432422574,0.155702607350419,2,9,9,7,48,9,0.164218758842394,0.900790790689419,0.0555302504255541,6.1706590262344
"83","US-RGF",1.76296192641977,1.48327566066099,1.54714818315547,34.2864045750718,0.0416729490019765,-0.441976185604813,17,14,17,16,61,33,0.137627508211691,0.609786711753493,0.0916368236991921,6.17594520512732
"84","US-RGo",0.601876495178297,0.517582274689827,0.587770446724835,3.46625921410225,0.00332963827354429,-0.044512865044077,21,0,2,2,18,23,0.111485691668979,0.715407729096702,0.0678830791309533,6.18092709749786
"85","US-RGW",1.8717977103159,1.53974592348683,1.60851683458912,29.6645468918849,0.0247391604958621,-0.185474167193106,4,11,11,7,54,11,0.102151186665237,0.687096197254199,0.0588574929832089,6.18231900009756
"86","US-Rls",1.57084082041591,0.817226187882643,0.817226187882643,19.8608412756224,0.124063590433776,0.533473647247728,0,72,73,72,72,72,0.431002607639369,0.951499091323027,0.108596775190191,6.06127624136626
"87","US-Rms",0.635111773351108,0.530591783385824,0.530591783385824,12.8194409018478,0.00125809999352797,0.451256869293774,1,72,73,72,72,72,0.0668493301310386,0.650151000387515,0.0411457151855322,6.18667069498541
"88","US-Ro1",2.1053814176608,1.8634296177987,1.86917566919051,43.0081745441232,0.026573160559065,0.372774873159104,1,62,62,61,71,62,0.0874799672574144,0.507940374032955,0.0620955332803068,6.18441748398123
"89","US-Ro2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","US-Ro3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","US-Ro4",0.743414559204887,0.622175064707072,0.622175064707072,15.7398443435938,0.00216232190312576,0.213778131814079,1,72,73,72,72,72,0.0747390498000038,0.649719852823259,0.0528156732224561,6.18586160414248
"92","US-Ro5",0.779744176396515,0.648856721948647,0.648856721948647,15.5609726091047,0.00322592646847166,0.348577788244684,18,72,73,72,72,72,0.0875343323896407,0.756757376355189,0.0460720430155309,6.18441228223713
"93","US-Ro6",0.70878151161726,0.591388965697569,0.591388965697569,14.5820225142484,0.00114292626690828,0.334985378551089,17,72,73,72,72,72,0.0571657479139955,0.461991423646072,0.0445437906705279,6.18751015927037
"94","US-Rwe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","US-Rwf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","US-Rws",0.554353788193787,0.412497016273713,0.412497016273713,10.2799351939473,0.0026282842559915,0.556326319906126,2,72,73,72,72,72,0.12428403805358,0.723744123568314,0.0668971362726412,6.17902540744829
"97","US-Seg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","US-Ses",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","US-Sne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","US-Snf",0.841295716848674,0.618737256332506,0.758024099575706,1.5558293089507,0.00990223634807099,0.45468176907324,0,1,1,1,17,1,0.160827524332076,0.703087597327474,0.0937552589390378,6.17170556373854
"101","US-SP1",0.570391839539777,0.484120582683529,0.484120582683529,11.496407942804,0.00283181348730137,0.650732654746111,0,72,73,72,72,72,0.109920520347757,0.827737878592772,0.0467964300659046,6.18140100667892
"102","US-SRC",1.66099596791375,1.22751552401858,1.22751552401858,31.4845032062172,0.0499379395893758,0.128986602792426,20,72,73,72,72,72,0.182049007929261,0.915259753429281,0.0575177995247875,6.16619457848049
"103","US-SRG",1.24727361145523,0.803181114280544,0.803181114280544,19.7058887451922,0.065309335765807,0.0486615626479322,1,72,73,72,72,72,0.318180928839519,0.947976715078798,0.083961576049504,6.11629713975513
"104","US-SRM",0.843398768388391,0.592512707116637,0.592512707116637,14.494811346739,0.0294899038621351,0.00456133961346493,1,72,73,72,72,72,0.289827112232045,0.950679930388375,0.0715372198539558,6.1288963457484
"105","US-SRS",1.09475576289568,0.721653653262863,0.721653653262863,18.0105005947606,0.0360188701387709,0.168187031513498,0,72,73,72,72,72,0.262988179189885,0.930215344927678,0.0761515235205847,6.14044927160444
"106","US-SSH",1.88858491147088,1.36241909893487,1.36241909893487,33.9392677061232,0.0564673646824686,0.353178579076507,22,72,73,72,72,72,0.174416688553066,0.863639150608012,0.0743459177242632,6.16842102281527
"107","US-Syv",0.784931970643054,0.657500969532083,0.657500969532083,16.1378596972759,0.00435788629781915,0.234138006276308,22,72,73,72,72,72,0.10040181178026,0.858919000660145,0.0408057096328396,6.1826850591991
"108","US-Ton",0.266469546081673,0.216225658635817,0.216225658635817,5.66563324244259,0.000359337922880078,0.841007475698196,3,72,73,72,72,72,0.0876686457441961,0.83041632139953,0.0376948154733854,6.18447364860824
"109","US-Tw2",1.51105676605936,1.2350350071559,1.44706456460169,2.9898679273789,0.0108622958926635,0.30347416111859,1,2,2,1,4,2,0.0843881656286841,0.519620172478334,0.0637508502761047,6.18478640092338
"110","US-Tw3",0.62714308728061,0.473724560353116,0.486213888262089,10.5372665804059,0.00304872887177665,0.491365352476071,1,12,12,11,62,12,0.11655569555286,0.711015079189698,0.0727969256664688,6.18028309366229
"111","US-UC1",0.953861433566724,0.71360719886013,0.71360719886013,18.3840419577002,0.00831127403820426,0.490307529184374,0,72,73,72,72,72,0.127754021068038,0.864561970290009,0.0495464551549077,6.17838339320136
"112","US-UC2",0.957735329399638,0.686291263693496,0.686291263693496,17.3210532253065,0.0110432498735823,0.263748190672224,1,72,73,72,72,72,0.153122841256351,0.876899522255924,0.0558223285361619,6.17323338504715
"113","US-UMB",0.485279127473692,0.429399232604586,0.429399232604586,10.5615037946639,0.000575803924116535,-0.199653665410592,0,72,73,72,72,72,0.0558825282302327,0.445555328663611,0.0476395195574865,6.18759110639468
"114","US-UMd",0.560116854323882,0.49285256741885,0.49285256741885,12.05186239304,0.000722329000849324,0.208596147896313,9,72,73,72,72,72,0.0545318840489356,0.587321330564812,0.0404931484455727,6.18771458879503
"115","US-UTB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","US-Var",0.321074295976033,0.260286769194,0.260286769194,6.88542159988993,0.000614007339389574,0.374491198313287,1,72,73,72,72,72,0.095199504607341,0.829306240090441,0.0419753316575754,6.18342849167638
"117","US-Vcm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","US-Vcp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","US-Whs",0.270273026544483,0.232454697644456,0.232454697644456,5.78416074712529,0.000301877436701867,0.0279989739978283,11,72,73,72,72,72,0.0747441142405265,0.418709224779672,0.0634420153019388,6.18584424869674
"120","US-Wi0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","US-Wi1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","US-Wi3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","US-Wi4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","US-Wi5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","US-Wi6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","US-Wi7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","US-Wi8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","US-Wi9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","US-Wjs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","US-Wkg",0.454699708997276,0.370650259188689,0.370650259188689,9.0752464747025,0.00171105930051122,0.0335693253727948,23,72,73,72,72,72,0.111601035038272,0.779372331703393,0.0584906336738621,6.18093509018234
"131","US-xAB",1.44750330438424,0.942462782541967,0.942462782541967,22.7815953726224,0.0545806356951528,0.993061802786223,0,72,73,72,72,72,0.247887761487098,0.875920525707109,0.0929581900240294,6.1487170536452
"132","US-xAE",3.25248445852695,2.21635548376153,2.21635548376153,53.5852350525342,0.244712992807247,0.378015909521075,0,72,73,72,72,72,0.223197381670745,0.913648146016896,0.0736297739056255,6.15487053434802
"133","US-xBL",3.30019578235636,2.25961223952901,2.25961223952901,54.0445465238591,0.243337459471089,0.572748039173827,0,72,73,72,72,72,0.218308460125434,0.901313282728802,0.0742144085454374,6.15682888249357
