"","Site_ID","p_TE_psi_to_ET","p_lag_psi_to_ET","mem_psi_to_ET","agg_TE_psi_to_ET","period_psi_to_ET","p_TE_VPD_to_ET","p_lag_VPD_to_ET","mem_VPD_to_ET","agg_TE_VPD_to_ET","period_VPD_to_ET","p_TE_TA_to_ET","p_lag_TA_to_ET","mem_TA_to_ET","agg_TE_TA_to_ET","period_TA_to_ET","p_TE_ET_to_psi","p_lag_ET_to_psi","mem_ET_to_psi","agg_TE_ET_to_psi","period_ET_to_psi","p_TE_VPD_to_psi","p_lag_VPD_to_psi","mem_VPD_to_psi","agg_TE_VPD_to_psi","period_VPD_to_psi","p_TE_TA_to_psi","p_lag_TA_to_psi","mem_TA_to_psi","agg_TE_TA_to_psi","period_TA_to_psi","p_TE_ET_to_VPD","p_lag_ET_to_VPD","mem_ET_to_VPD","agg_TE_ET_to_VPD","period_ET_to_VPD","p_TE_psi_to_VPD","p_lag_psi_to_VPD","mem_psi_to_VPD","agg_TE_psi_to_VPD","period_psi_to_VPD","p_TE_TA_to_VPD","p_lag_TA_to_VPD","mem_TA_to_VPD","agg_TE_TA_to_VPD","period_TA_to_VPD","p_TE_ET_to_TA","p_lag_ET_to_TA","mem_ET_to_TA","agg_TE_ET_to_TA","period_ET_to_TA","p_TE_psi_to_TA","p_lag_psi_to_TA","mem_psi_to_TA","agg_TE_psi_to_TA","period_psi_to_TA","p_TE_VPD_to_TA","p_lag_VPD_to_TA","mem_VPD_to_TA","agg_TE_VPD_to_TA","period_VPD_to_TA","GS"
"11","US-AR1",2.65778529665711,0,10,34.8975094326886,24,3.34904317514952,0,72,41.2307013013569,24,4.03775528949955,0,72,44.1556007278336,24,5.2823546751138,1,72,85.2755136611276,24,3.45151918558869,1,72,70.0149860750575,24,3.59801912883556,0,72,72.5218280710377,43.2,2.95745098671033,0,11,27.5729381677371,24,1.01484192918113,4,4,8.39793834022904,24,21.1527508067795,0,32,53.3709450975576,NA,2.82230100447318,0,11,19.0638452640807,24,0.943735769958713,0,3,2.57152167912611,24,18.2636047484957,0,19,46.4846984751424,NA,"GS"
"12","US-AR1",2.12355630171508,0,72,39.050721530653,24,3.86872621320246,0,72,55.1781762507042,24,4.11410855563385,0,72,60.6221936664346,43.2,4.66950368216552,1,72,79.9076380522208,NA,4.28544614032246,13,72,85.3560653002812,24,4.87730031782943,6,72,95.0577623134994,43.2,1.89127274461214,0,12,20.7359880272491,24,0.853112355072703,8,4,7.67200744933245,27,17.8233038954102,0,34,61.3921675167783,NA,1.57500578932066,0,4,5.18480873728674,27,NA,NA,NA,NA,27,13.4513295595998,0,6,35.2463398988832,NA,"NGS"
"13","US-AR2",1.15715186352743,2,72,21.6806003087091,12,3.76229890379006,0,72,41.7574046046024,24,2.86565820817935,0,72,36.151310187765,21.6,2.37984104787922,0,72,41.5127572584192,24,2.38371919694158,10,72,47.6043371803875,27,3.06793310255581,1,72,57.8236103052173,24,2.1669103675384,0,41,23.7482769907549,24,0.698433441768052,22,3,8.90064625638923,8,21.5044917244142,0,72,48.0881068692135,NA,1.35987414811165,0,18,13.7515106853384,27,0.631430064579342,0,1,1.72958215933078,24,16.4903297763977,0,41,38.0331211973587,NA,"FT"
"14","US-AR2",1.71451592977657,0,72,33.3065185478766,12,3.89382339799112,0,72,45.0172800750958,24,3.66851307041318,0,55,42.4344149448096,21.6,2.82237588704272,1,72,49.2996932858284,36,2.73051163226462,1,15,43.1510523337198,27,3.05195101270455,1,72,49.8412660105812,NA,3.27187936481724,0,17,35.8205216364501,24,1.08896466201238,0,2,11.8725023244949,24,24.8276357972174,0,29,62.800632658694,NA,2.96088182030645,0,8,29.5458470719613,NA,0.956808319287066,22,5,5.37161593781841,24,21.7281316094374,0,17,55.7573055678359,NA,"GS"
"15","US-AR2",1.74215009459964,3,53,31.0940991003791,21.6,3.47598718808619,0,12,44.1981631117137,24,3.13649607651621,0,72,49.7190307790238,24,1.60948941615392,6,4,21.1263333872599,24,1.73571662514954,23,10,30.2773319175727,24,2.54291293033791,2,17,44.5487801565738,24,2.18862638581198,0,13,17.6313106371895,24,0.93764785837051,5,1,1.87252262788175,43.2,22.1680654046323,0,20,66.8551573527069,NA,1.36534031110858,0,6,8.74798030087509,27,NA,NA,NA,NA,24,14.6980481617467,0,1,36.9399023683181,NA,"NGS"
"16","US-ARb",NA,NA,NA,NA,NA,5.17787689205375,0,72,60.564608905465,24,4.83897070639906,0,72,51.3246955900039,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.42908427237933,0,72,51.4456371574564,24,NA,NA,NA,NA,NA,16.6834950037659,0,34,57.5780967305244,NA,3.67419172244399,0,11,26.1010468457499,27,NA,NA,NA,NA,NA,13.467847003902,0,7,40.4058346847906,NA,"FT"
"17","US-ARb",NA,NA,NA,NA,NA,5.93772692151842,0,60,69.3216881696172,24,7.87079049265117,0,72,73.5073914889393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.32800019930215,0,36,61.1051423270867,24,NA,NA,NA,NA,NA,20.0315254304038,0,29,75.1177190105319,NA,6.60655838144563,0,11,46.8677741399987,24,NA,NA,NA,NA,NA,17.567215673367,0,14,63.7271465514295,NA,"GS"
"18","US-ARb",NA,NA,NA,NA,NA,5.25404327446553,0,9,70.1817243799153,24,4.85486743357736,0,10,73.7516844463149,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.81530847964706,0,8,45.711603885213,24,NA,NA,NA,NA,NA,18.0151657972956,0,11,69.4394348656878,NA,3.69427139970344,0,3,8.89525341304619,24,NA,NA,NA,NA,NA,13.8845594638908,0,2,16.4491856945799,NA,"NGS"
"19","US-ARc",NA,NA,NA,NA,NA,5.56763314978954,0,72,60.3889432830476,24,5.42809590318873,0,72,50.9658715156998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.79213185438147,0,72,53.9311139474426,24,NA,NA,NA,NA,NA,15.3836509492251,0,29,58.0615046370681,NA,3.8752689944962,0,9,24.6196706506563,27,NA,NA,NA,NA,NA,11.9711755652707,0,17,41.1511804671131,NA,"FT"
"20","US-ARc",NA,NA,NA,NA,NA,6.06564553097257,0,14,70.6847701497459,24,8.20791659814046,0,11,68.5452647727622,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.59332949951267,0,34,68.1110219339961,24,NA,NA,NA,NA,NA,18.101436813938,0,34,79.9522808087355,NA,7.15183187894544,0,9,45.4541315128684,24,NA,NA,NA,NA,NA,16.7672287570295,0,14,69.7069025340533,NA,"GS"
