,site_id,longitude.x,latitude.x,mukey,OBJECTID,comppct_r,CONFIDENCE,AVG_SAND,AVG_SILT,AVG_CLAY,X,site_name,data_policy,data_start,data_end,latitude.y,longitude.y,elevation,timezone,avg_air_temp_degC,avg_precip_mm,IGBP_veg,Koppen_clim_class,soil_texture,Description,porosity,psi.ae,lamda,Sf,SOS,EOS,LGS,CH_GLAD,AI_gridded,RD
18,US-CF3,-117.1261,46.7551,68556,23314,100,R,7.580921053,63.93223684,28.48684211,18,CAF-LTAR Boyd North,CCBY4.0,2017,2021,46.7551,-117.1261,795,America/Los_Angeles,9,550,CRO,Dsb,4,Silt loam,0.485,78.6,0.234,16.68,5/5/2015,7/24/2015,80,0,0.460497224,5.536606957
19,US-CF4,-117.1285,46.7518,68563,23321,100,R,9.982894737,66.62236842,23.39473684,19,CAF-LTAR Boyd South,CCBY4.0,2017,2021,46.7518,-117.1285,795,America/Los_Angeles,9,550,CRO,Dsb,4,Silt loam,0.485,78.6,0.234,16.68,5/5/2015,7/20/2015,76,0,0.461446053,5.52140566
20,US-CGG,-121.9761,37.938,455759,203941,100,R,22.1,27.9,50,20,Concord Grazed Grassland,CCBY4.0,2019,2022,37.938,-121.9761,119.5,America/Los_Angeles,16,419,GRA,Csa,12,Clay,0.482,40.5,0.165,31.63,1/1/2015,12/31/2015,364,2,0.186277414,5.54516432
21,US-Cop,-109.39,38.09,55372,194799,100,R,86.25460526,8.018421053,5.726973684,21,Corral Pocket,CCBY4.0,2001,2007,38.09,-109.39,1520,America/Denver,NA,NA,GRA,Bsk,3,Sandy loam,0.435,21.8,0.378,11.01,2/26/2015,10/28/2015,244,0,0.03902379,2.808574336
22,US-CRT,-83.3471,41.6285,169850,121823,100,R,4.889090909,47.00484848,48.10606061,22,Curtice Walter-Berger cropland,CCBY4.0,2011,2013,41.6285,-83.3471,180,America/New_York,10.1,849,CRO,Dfa,11,Silty clay,0.492,49,0.15,29.22,5/1/2015,9/14/2015,136,0,0.921758947,0.188054426
23,US-CS1,-89.5379,44.1031,423983,69980,100,R,84.04868421,9.451315789,6.5,23,Central Sands Irrigated Agricultural Field,CCBY4.0,2018,2019,44.1031,-89.5379,328,America/Chicago,7,830,CRO,Dfa,1,Sand,0.395,12.1,0.694,4.95,6/22/2015,8/13/2015,52,0,0.962969391,1.119389659
24,US-CS2,-89.5002,44.1467,423983,69980,100,R,84.04868421,9.451315789,6.5,24,Tri county school Pine Forest,CCBY4.0,2018,2022,44.1467,-89.5002,328,America/Chicago,7,830,ENF,Dfa,2,Loamy sand,0.41,9,0.553,6.13,5/25/2015,9/26/2015,124,17.42,0.916903246,1.206072832
25,US-CS3,-89.5727,44.1394,423980,69977,100,R,96.32236842,1.5,2.177631579,25,Central Sands Irrigated Agricultural Field,CCBY4.0,2019,2020,44.1394,-89.5727,328,America/Chicago,7,830,CRO,Dfa,2,Loamy sand,0.41,9,0.553,6.13,6/14/2015,9/2/2015,80,0,0.901355607,0.970552334
26,US-CS4,-89.5475,44.1597,423980,69977,100,R,96.32236842,1.5,2.177631579,26,Central Sands Irrigated Agricultural Field,CCBY4.0,2020,2021,44.1597,-89.5475,328,America/Chicago,7,830,CRO,Dfa,2,Loamy sand,0.41,9,0.553,6.13,6/14/2015,9/2/2015,80,0,0.890070337,1.07350091
27,US-CS5,-89.5377,44.1095,423975,69972,100,R,95.40986842,1.451973684,3.138157895,27,Central Sands Irrigated Agricultural Field,CCBY4.0,2021,2021,44.1095,-89.5377,328,America/Chicago,7,830,CRO,Dfa,1,Sand,0.395,12.1,0.694,4.95,6/11/2015,9/3/2015,84,0,0.949767162,1.102519453
28,US-CS6,-89.544,44.4297,426515,64511,100,R,94.7,2.392105263,2.907894737,28,Central Sands Irrigated Agricultural Field,CCBY4.0,2022,2023,44.4297,-89.544,328,America/Chicago,7,830,CRO,Dfa,2,Loamy sand,0.41,9,0.553,6.13,6/22/2015,9/10/2015,80,0,0.799114457,1.320536257
