,site_id,longitude.x,latitude.x,mukey,OBJECTID,comppct_r,CONFIDENCE,AVG_SAND,AVG_SILT,AVG_CLAY,X,site_name,data_policy,data_start,data_end,latitude.y,longitude.y,elevation,timezone,avg_air_temp_degC,avg_precip_mm,IGBP_veg,Koppen_clim_class,soil_texture,Description,porosity,psi.ae,lamda,Sf,SOS,EOS,LGS,CH_GLAD,AI_gridded,RD
69,US-ONA,-81.9509,27.3836,1384397,295385,100,R,95.09192218,2.056057834,2.852019987,69,Florida pine flatwoods,CCBY4.0,2016,2022,27.3836,-81.9509,25,America/New_York,22.3,1268,GRA,Cfa,1,Sand,0.395,12.1,0.694,4.95,2/22/2015,11/29/2015,280,0,0.810036857,0.564383129
70,US-PFb,-90.3232,45.972,627586,43783,100,R,68.23618421,21.43815789,10.32565789,70,NW1 Pine-1 CHEESEHEAD 2019,CCBY4.0,2019,2019,45.972,-90.3232,474,America/Chicago,4.33,823,ENF,Dfb,4,Silt loam,0.485,78.6,0.234,16.68,5/25/2015,9/14/2015,112,14.7,1.261307264,2.322973231
71,US-PFc,-90.3088,45.9677,627560,43770,100,R,71.44592498,24.4676339,4.086441118,71,NW2 Aspen-1 CHEESEHEAD 2019,CCBY4.0,2019,2019,45.9677,-90.3088,473,America/Chicago,4.33,823,DBF,Dfb,4,Silt loam,0.485,78.6,0.234,16.68,5/25/2015,9/10/2015,108,15.79,1.321978693,2.292032074
72,US-PFk,-90.3425,45.9149,884268,43810,100,R,71.44592498,24.4676339,4.086441118,72,SW1 Aspen-2 CHEESEHEAD 2019,CCBY4.0,2019,2019,45.9149,-90.3425,476,America/Chicago,4.33,823,DBF,Dfb,4,Silt loam,0.485,78.6,0.234,16.68,5/25/2015,9/14/2015,112,14.4,1.328667581,2.336234414
73,US-PFL,-90.3177,45.9409,1395728,43690,100,R,89.25894769,7.547321753,3.193730555,73,SW2 Aspen-3 CHEESEHEAD 2019,CCBY4.0,2019,2019,45.9409,-90.3177,464,America/Chicago,4.33,823,DBF,Dfb,4,Silt loam,0.485,78.6,0.234,16.68,5/29/2015,9/10/2015,104,19.15,1.368247351,2.304308585
74,US-PFm,-90.3099,45.9207,884268,43810,100,R,71.44592498,24.4676339,4.086441118,74,SW3 Hardwood-2 CHEESEHEAD 2019,CCBY4.0,2019,2019,45.9207,-90.3099,484,America/Chicago,4.33,823,DBF,Dfb,4,Silt loam,0.485,78.6,0.234,16.68,5/25/2015,9/22/2015,120,16.83,1.394082101,2.287353935
75,US-PFn,-90.2823,45.9392,627561,43771,100,R,71.44592498,24.4676339,4.086441118,75,SW4 Hardwood-3 CHEESEHEAD 2019,CCBY4.0,2019,2019,45.9392,-90.2823,478,America/Chicago,4.33,823,DBF,Dfb,4,Silt loam,0.485,78.6,0.234,16.68,5/25/2015,9/10/2015,108,16.82,1.399681396,2.241141359
76,US-PFp,-90.2641,45.9365,1395739,43697,100,R,65.29163981,27.76050788,6.947852319,76,SE2 Hardwood-4 CHEESEHEAD 2019,CCBY4.0,2019,2019,45.9365,-90.2641,497,America/Chicago,4.33,823,DBF,Dfb,4,Silt loam,0.485,78.6,0.234,16.68,5/25/2015,9/10/2015,108,16.55,1.435363701,2.209725934
77,US-PFq,-90.2475,45.9271,1395721,43688,100,R,82.65722793,9.642409904,7.700362166,77,SE3 Aspen-4 CHEESEHEAD 2019,CCBY4.0,2019,2019,45.9271,-90.2475,473,America/Chicago,4.33,823,DBF,Dfb,2,Loamy sand,0.41,9,0.553,6.13,5/25/2015,9/6/2015,104,20,1.481958291,2.185334197
78,US-PFt,-90.2288,45.9197,1395729,43691,100,R,88.97682853,7.811207238,3.211964235,78,SE6 Pine-4 CHEESEHEAD 2019,CCBY4.0,2019,2019,45.9197,-90.2288,466,America/Chicago,4.33,823,ENF,Dfb,2,Loamy sand,0.41,9,0.553,6.13,5/25/2015,9/14/2015,112,14.11,1.506842518,2.159502383
79,US-PSH,-119.9247,36.2347,461800,234940,97,R,46.47960526,23.09276316,30.42763158,79,USSL San Joaquin Valley Pistachio High,CCBY4.0,2016,2017,36.2347,-119.9247,70,America/Los_Angeles,15.6,191,DBF,Bsk,9,Clay loam,0.476,63,0.242,20.88,1/25/2015,10/20/2015,268,0,0.105331283,5.670465154
80,US-PSL,-120.1397,36.8276,463390,220550,100,R,65.23090905,19.76445688,15.00463408,80,USSL San Joaquin Valley Pistachio Low,CCBY4.0,2016,2017,36.8276,-120.1397,65,America/Los_Angeles,16.7,311,DBF,Bsk,3,Sandy loam,0.435,21.8,0.378,11.01,2/26/2015,11/9/2015,256,0,0.330669642,17.92872284
81,US-RGA,-91.6733,34.4159,579289,260658,100,R,21.90054645,54.32896175,23.7704918,81,Arkansas Corn Farm,CCBY4.0,2021,2025,34.4159,-91.6733,61,America/Chicago,16.7,1250,CRO,Csa,12,Clay,0.482,40.5,0.165,31.63,6/2/2015,9/18/2015,108,0,0.602598024,0.408933603
82,US-RGB,-121.8579,39.5782,461191,164627,100,R,22.78392224,37.97745727,39.23862049,82,Butte County Rice Farm,CCBY4.0,2021,2024,39.5782,-121.8579,33,America/Los_Angeles,16,737,CRO,Csa,12,Clay,0.482,40.5,0.165,31.63,6/14/2015,9/10/2015,88,0,0.476635734,1.212580754
83,US-RGF,-121.1369,37.6995,462573,209848,100,R,48.46842105,38.025,13.50657895,83,Stanislaus County Forage Farm,CCBY4.0,2023,2025,37.6995,-121.1369,16,America/Los_Angeles,17.2,31,CRO,Csa,3,Sandy loam,0.435,21.8,0.378,11.01,1/1/2015,12/31/2015,364,0,0.380114776,7.744099773
84,US-RGo,-122.0026,39.6805,2766097,166763,100,R,9.591447368,57.17171053,33.23684211,84,Glenn County Organic Rice Farm,CCBY4.0,2021,2025,39.6805,-122.0026,40,America/Los_Angeles,16,610,CRO,Csa,6,Loam,0.451,47.8,0.252,8.89,2/26/2015,10/4/2015,220,0,0.464689903,2.178628797
85,US-RGW,-91.4306,33.6216,564199,265111,100,R,1.8,28.93891626,69.26108374,85,Desha County Rice Farm,CCBY4.0,2022,2024,33.6216,-91.4306,41,America/Chicago,16.7,1283,CRO,Csa,12,Clay,0.482,40.5,0.165,31.63,6/6/2015,8/21/2015,76,0,0.608003433,1.172642436
86,US-Rls,-116.7356,43.1439,486088,95423,75,U,34.55889615,33.75545035,31.6856535,86,RCEW Low Sagebrush,CCBY4.0,2014,2023,43.1439,-116.7356,1608,America/Boise,8.4,333,CSH,Bsh,6,Loam,0.451,47.8,0.252,8.89,4/3/2015,8/1/2015,120,0,0.064650766,3.389706099
87,US-Rms,-116.7486,43.0645,485930,95502,82,U,38.91368742,36.60000535,24.48630723,87,RCEW Mountain Big Sagebrush,CCBY4.0,2014,2023,43.0645,-116.7486,2111,America/Boise,5.4,800,CSH,Bsh,6,Loam,0.451,47.8,0.252,8.89,5/17/2015,9/2/2015,108,4.55,0.225516756,3.443337514
88,US-Ro1,-93.0898,44.7143,396811,60770,100,R,9.168421053,65.85789474,24.97368421,88,Rosemount- G21,CCBY4.0,2004,2016,44.7143,-93.0898,290,America/Chicago,6.4,879,CRO,Dfa,4,Silt loam,0.485,78.6,0.234,16.68,6/6/2015,9/18/2015,104,0,0.788501466,0.786248756
89,US-Ro2,-93.0888,44.7288,396855,60814,100,R,54.71315789,32.58618421,12.70065789,89,Rosemount- C7,CCBY4.0,2008,2016,44.7288,-93.0888,292,America/Chicago,6.4,879,CRO,Dfa,4,Silt loam,0.485,78.6,0.234,16.68,5/13/2015,9/18/2015,128,0,0.766974875,0.767419784
90,US-Ro3,-93.0893,44.7217,396855,60814,100,R,54.71315789,32.58618421,12.70065789,90,Rosemount- G19,CCBY4.0,2004,2007,44.7217,-93.0893,260,America/Chicago,6.4,879,CRO,Dfa,4,Silt loam,0.485,78.6,0.234,16.68,5/29/2015,9/18/2015,112,0,0.76925939,0.776606128
91,US-Ro4,-93.0723,44.6781,396778,60737,100,R,68.9,16.39605263,14.70394737,91,Rosemount Prairie,CCBY4.0,2014,2024,44.6781,-93.0723,274,America/Chicago,6.4,879,GRA,Dfa,4,Silt loam,0.485,78.6,0.234,16.68,6/2/2015,9/10/2015,100,0,0.912323883,0.877241116
92,US-Ro5,-93.0576,44.691,396855,60814,100,R,54.71315789,32.58618421,12.70065789,92,Rosemount I18_South,CCBY4.0,2017,2024,44.691,-93.0576,283,America/Chicago,6.4,879,CRO,Dfa,4,Silt loam,0.485,78.6,0.234,16.68,5/17/2015,9/14/2015,120,0,0.871683363,0.891615593
93,US-Ro6,-93.0578,44.6946,396855,60814,100,R,54.71315789,32.58618421,12.70065789,93,Rosemount I18_North,CCBY4.0,2017,2024,44.6946,-93.0578,282,America/Chicago,6.4,879,CRO,Dfa,4,Silt loam,0.485,78.6,0.234,16.68,5/17/2015,9/18/2015,124,0,0.860265192,0.886226892
94,US-Rwe,-116.7591,43.0653,485930,95502,82,U,38.91368742,36.60000535,24.48630723,94,RCEW Reynolds Mountain East,CCBY4.0,2003,2007,43.0653,-116.7591,2098,America/Boise,5.4,800,CSH,Bsh,6,Loam,0.451,47.8,0.252,8.89,5/17/2015,9/2/2015,108,0,0.220145568,3.461645853
95,US-Rwf,-116.7231,43.1207,485925,95504,75,U,35.97213115,38.90901639,25.11885246,95,RCEW Upper Sheep Prescibed Fire,CCBY4.0,2014,2023,43.1207,-116.7231,1878,America/Boise,6.5,505,CSH,Bsh,6,Loam,0.451,47.8,0.252,8.89,4/27/2015,8/29/2015,124,0,0.063070452,3.398016532
96,US-Rws,-116.7132,43.1675,486131,95401,75,U,36.43089147,34.50408915,29.06501938,96,Reynolds Creek Wyoming big sagebrush,CCBY4.0,2014,2023,43.1675,-116.7132,1425,America/Boise,8.9,290,OSH,Bsk,6,Loam,0.451,47.8,0.252,8.89,3/10/2015,8/13/2015,156,0,0.054507075,3.300701215
97,US-Seg,-106.702,34.3623,57145,262853,90,U,57.20526316,17.24210526,25.55263158,97,Sevilleta grassland,CCBY4.0,2007,2024,34.3623,-106.702,1596,America/Denver,13.667,273.304,GRA,Bsk,1,Sand,0.395,12.1,0.694,4.95,2/18/2015,10/28/2015,252,0,0.041073097,2.905327166
98,US-Ses,-106.7442,34.3349,57162,262870,80,U,70.4640625,21.61652961,7.919407895,98,Sevilleta shrubland,CCBY4.0,2007,2024,34.3349,-106.7442,1604,America/Denver,13.722,275.082,OSH,Bsk,1,Sand,0.395,12.1,0.694,4.95,2/6/2015,11/9/2015,276,0,0.033856461,2.783754155
99,US-Sne,-121.7547,38.0369,461899,193985,100,R,19.33076923,30.66923077,50,99,Sherman Island Restored Wetland,CCBY4.0,2016,2020,38.0369,-121.7547,-5,America/Los_Angeles,16.09,311,GRA,Csa,12,Clay,0.482,40.5,0.165,31.63,2/18/2015,5/13/2015,84,0.3,0.298635897,4.941202078
100,US-Snf,-121.7272,38.0402,461899,193985,100,R,19.33076923,30.66923077,50,100,Sherman Barn,CCBY4.0,2018,2020,38.0402,-121.7272,-4,America/Los_Angeles,NA,NA,GRA,Csa,12,Clay,0.482,40.5,0.165,31.63,2/18/2015,5/13/2015,84,0,0.31388824,4.549279955
101,US-SP1,-82.2188,29.7381,320671,292084,100,R,78.58831007,8.863151336,12.5485386,101,Slashpine-Austin Cary- 65yrs nat regen,CCBY4.0,2000,2020,29.7381,-82.2188,50,America/New_York,20.06,1309.77,ENF,Cfa,1,Sand,0.395,12.1,0.694,4.95,3/2/2015,11/13/2015,256,18.03,0.879666215,1.496279382
102,US-SRC,-110.8395,31.9083,1416069,282660,0,ND,43.89326829,34.71057405,21.39615766,102,Santa Rita Creosote,CCBY4.0,2008,2014,31.9083,-110.8395,950,America/Phoenix,22,330,OSH,Bwh,6,Loam,0.451,47.8,0.252,8.89,3/26/2015,10/20/2015,208,0,0.127912786,2.608605246
103,US-SRG,-110.8277,31.7894,801772,282721,0,ND,43.89326829,34.71057405,21.39615766,103,Santa Rita Grassland,CCBY4.0,2008,2024,31.7894,-110.8277,1291,America/Phoenix,17,420,GRA,Bsk,6,Loam,0.451,47.8,0.252,8.89,5/5/2015,10/20/2015,168,0,0.23486544,2.591805333
104,US-SRM,-110.8661,31.8214,801772,282721,0,ND,43.89326829,34.71057405,21.39615766,104,Santa Rita Mesquite,CCBY4.0,2004,2024,31.8214,-110.8661,1120,America/Phoenix,17.92,380,WSA,Bsk,6,Loam,0.451,47.8,0.252,8.89,4/23/2015,10/20/2015,180,0,0.204310818,2.571207429
105,US-SRS,-110.8508,31.8173,1424987,282678,0,ND,43.89326829,34.71057405,21.39615766,105,Santa Rita Savanna,CCBY4.0,2011,2018,31.8173,-110.8508,1169,America/Phoenix,19.4,388,WSA,Bsk,6,Loam,0.451,47.8,0.252,8.89,4/19/2015,10/28/2015,192,0,0.209811207,2.600639404
106,US-SSH,-77.9041,40.6658,541954,152091,90,U,37.30406212,46.17880202,16.51713586,106,Susquehanna Shale Hills Critical Zone Observatory,CCBY4.0,2016,2021,40.6658,-77.9041,310,America/New_York,9.5,1050,DBF,Dfb,6,Loam,0.451,47.8,0.252,8.89,5/9/2015,10/4/2015,148,18.75,1.399261504,4.052346044
107,US-Syv,-89.3477,46.242,1455948,30473,100,R,79.60235466,17.56369434,2.833950997,107,Sylvania Wilderness Area,CCBY4.0,2001,2024,46.242,-89.3477,540,America/Menominee,3.81,826,MF,Dfb,3,Sandy loam,0.435,21.8,0.378,11.01,5/17/2015,9/22/2015,128,22.15,1.334039816,2.694251804
108,US-Ton,-120.966,38.4309,462328,194112,100,R,27.1,54.4,18.5,108,Tonzi Ranch,CCBY4.0,2001,2024,38.4309,-120.966,177,America/Los_Angeles,15.8,559,WSA,Csa,4,Silt loam,0.485,78.6,0.234,16.68,2/26/2015,6/6/2015,100,4,0.255898699,7.221886667
109,US-Tw2,-121.6365,38.0969,461945,194031,100,R,21.7,54.8,23.5,109,Twitchell Corn,CCBY4.0,2012,2013,38.0969,-121.6365,-5,America/Los_Angeles,15.5,421,CRO,Csa,12,Clay,0.482,40.5,0.165,31.63,2/18/2015,10/4/2015,228,0,0.436000491,2.652327476
110,US-Tw3,-121.6469,38.1152,461966,194052,100,R,28.47039474,42.20394737,29.32565789,110,Twitchell Alfalfa,CCBY4.0,2013,2018,38.1152,-121.6469,-4,America/Los_Angeles,15.6,421,CRO,Csa,12,Clay,0.482,40.5,0.165,31.63,2/2/2015,11/13/2015,284,0,0.437588725,2.650386368
111,US-UC1,-78.0056,40.7536,538284,136588,100,R,9.829595842,46.80262892,43.36777523,111,LTAR UCB (Upper Chesapeake Bay) EC1,CCBY4.0,2019,2024,40.7536,-78.0056,390,America/New_York,10.1,1006.35,CVM,Dfb,4,Silt loam,0.485,78.6,0.234,16.68,5/21/2015,9/26/2015,128,0,1.213024732,3.434371258
112,US-UC2,-77.9998,40.7559,538323,136627,100,R,65.86010048,18.27177511,15.86812441,112,LTAR UCB (Upper Chesapeake Bay) EC2,CCBY4.0,2019,2024,40.7559,-77.9998,396,America/New_York,10.1,1006.35,CVM,Dfb,3,Sandy loam,0.435,21.8,0.378,11.01,5/9/2015,10/4/2015,148,0,1.214996177,3.450725973
113,US-UMB,-84.7138,45.5598,190525,47541,100,R,95.96751554,2.726251078,1.30623338,113,Univ. of Mich. Biological Station,CCBY4.0,2000,2024,45.5598,-84.7138,234,America/Detroit,5.83,803,DBF,Dfb,1,Sand,0.395,12.1,0.694,4.95,5/21/2015,10/8/2015,140,22,1.259875572,2.673276856
114,US-UMd,-84.6975,45.5625,190525,47541,100,R,95.96751554,2.726251078,1.30623338,114,UMBS Disturbance,CCBY4.0,2007,2025,45.5625,-84.6975,239,America/Detroit,5.83,803,DBF,Dfb,1,Sand,0.395,12.1,0.694,4.95,5/21/2015,10/8/2015,140,20.75,1.252072982,2.709178116
115,US-UTB,-113.8299,40.7848,482160,147717,100,R,4.889090909,47.00484848,48.10606061,115,UFLUX Bonneville Salt Flats,CCBY4.0,2021,2024,40.7848,-113.8299,1287,America/Denver,10.6,138.59,BSV,Bwk,11,Silty clay,0.492,49,0.15,29.22,3/10/2015,7/28/2015,140,0,0.07923972,0.504025986
116,US-Var,-120.9508,38.4133,462324,194108,100,R,27.1,54.4,18.5,116,Vaira Ranch- Ione,CCBY4.0,2000,2024,38.4133,-120.9508,129,America/Los_Angeles,15.8,559,GRA,Csa,4,Silt loam,0.485,78.6,0.234,16.68,2/10/2015,5/25/2015,104,0,0.245688042,7.153842331
117,US-Vcm,-106.5321,35.8884,56472,241506,85,U,70,23,7,117,Valles Caldera Mixed Conifer,CCBY4.0,2007,2023,35.8884,-106.5321,3030,America/Denver,6.4,646,ENF,Dfb,4,Silt loam,0.485,78.6,0.234,16.68,4/23/2015,10/20/2015,180,0,0.27799912,2.382072823
118,US-Vcp,-106.5967,35.8642,56388,241422,100,R,47.05095395,34.12799342,18.82105263,118,Valles Caldera Ponderosa Pine,CCBY4.0,2007,2024,35.8642,-106.5967,2500,America/Denver,9.8,550,ENF,Dfb,4,Silt loam,0.485,78.6,0.234,16.68,3/22/2015,11/17/2015,240,17.09,0.268793911,2.520599492
119,US-Whs,-110.0522,31.7438,55034,282816,90,U,55.73128655,27.07938596,17.18932749,119,Walnut Gulch Lucky Hills Shrub,CCBY4.0,2007,2024,31.7438,-110.0522,1370,America/Phoenix,17.6,320,OSH,Bsk,6,Loam,0.451,47.8,0.252,8.89,4/3/2015,10/24/2015,204,0,0.156798602,1.923390187
120,US-Wi0,-91.0814,46.6188,433758,26392,100,R,94.61921182,2.533497537,2.84729064,120,Young red pine (YRP),CCBY4.0,2002,2002,46.6188,-91.0814,349,America/Chicago,NA,NA,ENF,Dfb,6,Loam,0.451,47.8,0.252,8.89,5/20/2015,10/2/2015,135,16,1.354910762,3.391878885
121,US-Wi1,-91.2329,46.7305,433756,26390,100,R,94.61921182,2.533497537,2.84729064,121,Intermediate hardwood (IHW),CCBY4.0,2003,2003,46.7305,-91.2329,352,America/Chicago,NA,NA,DBF,Dfb,2,Loamy sand,0.41,9,0.553,6.13,5/29/2015,9/30/2015,124,20.5,1.283897562,3.164331463
122,US-Wi3,-91.0987,46.6347,433320,26328,100,R,88.54384236,4.845320197,6.610837438,122,Mature hardwood (MHW),CCBY4.0,2002,2004,46.6347,-91.0987,411,America/Chicago,NA,NA,DBF,Dfb,2,Loamy sand,0.41,9,0.553,6.13,5/25/2015,10/4/2015,132,22.42,1.364811795,3.4171595
123,US-Wi4,-91.1663,46.7393,433756,26390,100,R,94.61921182,2.533497537,2.84729064,123,Mature red pine (MRP),CCBY4.0,2002,2005,46.7393,-91.1663,352,America/Chicago,NA,NA,ENF,Dfb,2,Loamy sand,0.41,9,0.553,6.13,4/27/2015,10/12/2015,168,17.79,1.485757223,3.200058352
124,US-Wi5,-91.0858,46.6531,433327,26332,100,R,96,2,2,124,Mixed young jack pine (MYJP),CCBY4.0,2004,2004,46.6531,-91.0858,353,America/Chicago,NA,NA,ENF,Dfb,2,Loamy sand,0.41,9,0.553,6.13,5/20/2015,10/2/2015,135,14.72,1.357138908,3.365647165
125,US-Wi6,-91.2982,46.6249,433758,26392,100,R,94.61921182,2.533497537,2.84729064,125,Pine barrens #1 (PB1),CCBY4.0,2002,2003,46.6249,-91.2982,371,America/Chicago,NA,NA,OSH,Dfb,2,Loamy sand,0.41,9,0.553,6.13,5/29/2015,9/22/2015,116,0,1.112294258,3.141196432
126,US-Wi7,-91.0693,46.6491,433326,26331,100,R,96,2,2,126,Red pine clearcut (RPCC),CCBY4.0,2005,2005,46.6491,-91.0693,335,America/Chicago,NA,NA,OSH,Dfb,2,Loamy sand,0.41,9,0.553,6.13,5/20/2015,10/2/2015,135,4.23,1.363711413,3.344752885
127,US-Wi8,-91.2524,46.7223,433730,26385,100,R,86.90136054,8.081632653,5.017006803,127,Young hardwood clearcut (YHW),CCBY4.0,2002,2002,46.7223,-91.2524,348,America/Chicago,NA,NA,DBF,Dfb,8,Silty clay loam,0.477,35.6,0.177,27.3,5/20/2015,10/2/2015,135,22,1.270416396,3.155336817
128,US-Wi9,-91.0746,46.7385,433327,26332,100,R,96,2,2,128,Young Jack pine (YJP),CCBY4.0,2004,2005,46.7385,-91.0746,350,America/Chicago,NA,NA,ENF,Dfb,2,Loamy sand,0.41,9,0.553,6.13,6/2/2015,9/30/2015,120,14.5,1.536547818,3.230650719
129,US-Wjs,-105.8615,34.4255,1473952,256526,90,U,63.03815789,16.40921053,20.55263158,129,Willard Juniper Savannah,CCBY4.0,2007,2024,34.4255,-105.8615,1931,America/Denver,15.2,361,SAV,Bsk,6,Loam,0.451,47.8,0.252,8.89,4/19/2015,10/20/2015,184,0,0.05238838,6.060458842
130,US-Wkg,-109.9419,31.7365,54938,282730,90,U,61.14539474,21.76542398,17.08918129,130,Walnut Gulch Kendall Grasslands,CCBY4.0,2004,2024,31.7365,-109.9419,1531,America/Phoenix,15.64,407,GRA,Bsk,6,Loam,0.451,47.8,0.252,8.89,5/5/2015,10/12/2015,160,0,0.199724602,2.164790074
131,US-xAB,-122.3303,45.7624,71974,41048,100,R,14.86184211,63.13815789,22,131,NEON Abby Road (ABBY),CCBY4.0,2017,2023,45.7624,-122.3303,363,America/Los_Angeles,10,2450.59,ENF,Csb,6,Loam,0.451,47.8,0.252,8.89,5/13/2015,10/16/2015,156,6.06,1.70982455,4.783925416
132,US-xAE,-99.0588,35.4106,2507761,247334,100,R,11.46666667,66.42666667,22.10666667,132,NEON Klemme Range Research Station (OAES),CCBY4.0,2017,2023,35.4106,-99.0588,516,America/Chicago,15.5,778.85,GRA,Cfa,4,Silt loam,0.485,78.6,0.234,16.68,4/7/2015,10/12/2015,188,0,0.306676206,7.216985845
133,US-xBL,-78.0716,39.0603,516539,180737,85,U,11.69011355,56.84264331,31.46724315,133,NEON Blandy Experimental Farm (BLAN),CCBY4.0,2017,2023,39.0603,-78.0716,183,America/New_York,12.1,982.55,DBF,Cfa,4,Silt loam,0.485,78.6,0.234,16.68,4/7/2015,10/12/2015,188,3.7,1.072017912,4.090572376
134,US-xBR,-71.2873,44.0639,NA,NA,NA,NA,59.206585,26.20955527,14.58385972,134,NEON Bartlett Experimental Forest (BART),CCBY4.0,2017,2023,44.0639,-71.2873,232,America/New_York,5.6,1246,DBF,Dfb,3,Sandy loam,0.435,21.8,0.378,11.01,5/13/2015,9/30/2015,140,15.58,1.454270903,2.180012607
135,US-xCL,-97.57,33.4012,373666,271151,100,R,50.37103825,32.79836066,16.83060109,135,NEON LBJ National Grassland (CLBJ),CCBY4.0,2017,2023,33.4012,-97.57,259,America/Chicago,17.5,925.61,GRA,Cfa,3,Sandy loam,0.435,21.8,0.378,11.01,4/3/2015,10/16/2015,196,7,0.553565235,7.159015606
136,US-xCP,-104.7456,40.8155,95132,139847,100,R,62.75,24.92105263,12.32894737,136,NEON Central Plains Experimental Range (CPER),CCBY4.0,2016,2023,40.8155,-104.7456,1654,America/Denver,8.6,320,GRA,Bsk,6,Loam,0.451,47.8,0.252,8.89,5/1/2015,9/6/2015,128,0,0.134127685,4.207051845
137,US-xDC,-99.1066,47.1617,2566846,20867,100,R,35.17379605,34.82942763,29.99677632,137,NEON Dakota Coteau Field School (DCFS),CCBY4.0,2017,2023,47.1617,-99.1066,559,America/Chicago,4.9,489.74,GRA,Dfb,6,Loam,0.451,47.8,0.252,8.89,5/13/2015,9/18/2015,128,0,0.578387695,3.730522225
138,US-xDL,-87.8039,32.5417,329668,274482,80,U,30.04737921,34.83971815,35.11290265,138,NEON Dead Lake (DELA),CCBY4.0,2017,2023,32.5417,-87.8039,22,America/Chicago,17.6,1372,MF,Cfa,3,Sandy loam,0.435,21.8,0.378,11.01,3/30/2015,10/8/2015,192,25.07,0.832649644,3.559709491
139,US-xDS,-81.4362,28.125,1483882,295027,100,R,93.10650831,4.327318705,2.566172982,139,NEON Disney Wilderness Preserve (DSNY),CCBY4.0,2017,2023,28.125,-81.4362,15,America/New_York,22.5,1216.09,CVM,Cfa,1,Sand,0.395,12.1,0.694,4.95,3/14/2015,11/5/2015,236,0,0.714105433,0.579074113
140,US-xGR,-83.5019,35.689,553583,243576,100,R,57.83048581,31.37829079,10.7912234,140,"NEON Great Smoky Mountains National Park, Twin Creeks (GRSM)",CCBY4.0,2017,2023,35.689,-83.5019,579,America/New_York,13.1,1375,DBF,Cfa,6,Loam,0.451,47.8,0.252,8.89,4/23/2015,10/20/2015,180,28.5,1.001520998,1.499936749
141,US-xHA,-72.1727,42.5369,278708,103721,100,R,69.98093488,24.19911025,5.819954868,141,NEON Harvard Forest (HARV),CCBY4.0,2017,2023,42.5369,-72.1727,351,America/New_York,6.62,1071,DBF,Dfb,3,Sandy loam,0.435,21.8,0.378,11.01,5/13/2015,10/12/2015,152,22.63,1.428693258,2.435854845
142,US-xJE,-84.4686,31.1948,325159,285300,100,R,72.86393443,12.59508197,14.54098361,142,NEON Jones Ecological Research Center (JERC),CCBY4.0,2017,2023,31.1948,-84.4686,44,America/New_York,19.2,1307.97,ENF,Cfa,3,Sandy loam,0.435,21.8,0.378,11.01,3/22/2015,10/20/2015,212,16.37,0.851639599,0.887494531
143,US-xJR,-106.8425,32.5907,634579,277752,85,U,77.64396285,10.95897833,11.39705882,143,NEON Jornada LTER (JORN),CCBY4.0,2017,2023,32.5907,-106.8425,1329,America/Denver,15.7,271.33,OSH,Bsk,1,Sand,0.395,12.1,0.694,4.95,1/29/2015,11/5/2015,280,0,0.040231392,7.104411028
144,US-xKA,-96.6129,39.1104,1472302,175811,84,U,9.975657895,49.31381579,40.71052632,144,NEON Konza Prairie Biological Station - Relocatable (KONA),CCBY4.0,2017,2023,39.1104,-96.6129,1329,America/Chicago,12.7,850.63,GRA,Cfa,8,Silty clay loam,0.477,35.6,0.177,27.3,4/23/2015,9/22/2015,152,0,0.632488977,5.273160137
145,US-xKZ,-96.5631,39.1008,1472305,175814,75,U,7.818450621,49.45387345,42.72767593,145,NEON Konza Prairie Biological Station (KONZ),CCBY4.0,2017,2023,39.1008,-96.5631,381,America/Chicago,12.4,870.38,GRA,Cfa,8,Silty clay loam,0.477,35.6,0.177,27.3,5/9/2015,9/10/2015,124,0,0.630342487,5.740725073
146,US-xMB,-109.3883,38.2483,55393,194820,100,R,74.99078947,13.22960526,11.77960526,146,NEON Moab (MOAB),CCBY4.0,2017,2023,38.2483,-109.3883,1767,America/Denver,10.1,319.46,OSH,Bsk,3,Sandy loam,0.435,21.8,0.378,11.01,2/22/2015,11/13/2015,264,0,0.02434536,2.587350971
147,US-xML,-80.5248,37.3783,516648,216938,80,U,53.19212121,33.73212121,13.07575758,147,NEON Mountain Lake Biological Station (MLBS),CCBY4.0,2017,2023,37.3783,-80.5248,1126,America/New_York,8.8,1227.82,DBF,Dfb,6,Loam,0.451,47.8,0.252,8.89,5/17/2015,10/4/2015,140,23.3,0.903162242,5.262537058
148,US-xNG,-100.9154,46.7697,2520776,25900,100,R,20.25555263,51.95339474,27.79105263,148,NEON Northern Great Plains Research Laboratory (NOGP),CCBY4.0,2017,2023,46.7697,-100.9154,578,America/North_Dakota/New_Salem,5.9,456.51,GRA,Dfb,6,Loam,0.451,47.8,0.252,8.89,5/5/2015,10/16/2015,164,0,0.572222761,2.638331594
149,US-xNQ,-112.4524,40.1776,482173,147730,100,R,39.8,37.7,22.5,149,NEON Onaqui-Ault (ONAQ),CCBY4.0,2017,2023,40.1776,-112.4524,1685,America/Denver,9,288.31,OSH,Dfb,6,Loam,0.451,47.8,0.252,8.89,3/10/2015,7/28/2015,140,0,0.025717177,3.992975776
