"","Site_ID","AI","EI"
"1","US-A32",0.0339778288005301,2.03183247449296
"2","US-A74",0.0183636348993582,4.24650124823503
"3","US-Akn",NA,32.6935288340642
"4","US-AR1",0.019208495675999,2.07873608158364
"5","US-AR2",0.0107939864237116,1.95238657783499
"6","US-ARb",0.0199456879387932,2.16020343759633
"7","US-ARc",0.027774248189024,2.26225081207045
"8","US-ARM",0.0325467206007072,2.15483661235532
"9","US-ASH",NA,NA
"10","US-ASM",NA,NA
"11","US-Bar",0.0614597603018138,0.581404325816938
"12","US-Bi1",0.0220347850397324,4.7754566403724
"13","US-Bi2",0.0122200199524459,5.64123390130452
"14","US-BRG",NA,Inf
"15","US-CdM",NA,3.67933211608343
"16","US-CF1",0.000810300869540496,48.7096337616606
"17","US-CF2",0.000777073027227073,44.2733354110211
"18","US-CF3",0.00150639265670722,26.0900570309104
"19","US-CF4",0.00123641604180335,32.6901299643813
"20","US-CGG",0.0130730739175104,2.29255262965677
"21","US-Cop",0.00561443600035593,1.16329164476002
"22","US-CRT",0.0481880758984774,1.71555020405581
"23","US-CS1",0.121592476222948,0.709292784231208
"24","US-CS2",NA,NA
"25","US-CS3",0.107179653695429,0.812604083507564
"26","US-CS4",0.0424745231683569,1.04728573464049
"27","US-CS5",0.0374375200559734,1.22297695710658
"28","US-CS6",0.0636265924572474,1.16527853222403
"29","US-CS8",0.0390769146743397,0.984934918989959
"30","US-Cst",0.0769337165660829,1.69146360324068
"31","US-DFC",0.04430612738649,1.73769838010208
"32","US-DS3",0.011907772226916,13.938809295502
"33","US-Fmf",0.0263477771511083,1.64235174367572
"34","US-Fuf",0.0226047493428196,1.76428629065628
"35","US-Fwf",0.0212982562193937,1.57219916061237
"36","US-GLE",0.0985299806642899,0.810714903677597
"37","US-Ha1",0.0933381546377181,0.370823459404987
"38","US-HB2",0.0334315784596647,1.18020161807951
"39","US-HB3",0.127573997349008,0.863473489503425
"40","US-Hn2",0.00126066353444532,25.4140484901702
"41","US-Hn3",0.000958291862969049,11.2603180869541
"42","US-Ho1",0.0427683212134173,0.966214064463121
"43","US-Ho2",0.0460166596631393,1.05987639913413
