"","site_id","AI","CH","RD","TSand"
"1","US-A32",0.129842158800157,0.147643630834065,1.4431523000959,36
"2","US-A74",0.139795556078024,0.289306070340263,1.17635456890045,36.001137539514
"3","US-Akn",0.298414702763909,13.6134544434532,3.9319374513835,62.6960317680596
"4","US-AR1",0.0791958030885775,0.205727522258547,4.48221666299549,67.1122440605
"5","US-AR2",0.0752028770549674,0.0919041759386253,3.90008856342706,62.5069037927772
"6","US-ARb",0.11983610602704,0.704207836117995,7.457212947149,43.5125975812821
"7","US-ARc",0.119855587644994,0.715214134413491,7.49253682719146,43.6163815478318
"8","US-ARM",0.140880106070843,0.375403503088968,1.77634973403505,36.0006835091254
"9","US-ASH",0.0380893652630038,0.49172584979143,6.92305793626611,30.924523561416
"10","US-ASM",0.0382657310809021,0.494162438805829,6.98279465444758,30.9982038191546
"11","US-Bar",0.716962771871662,16.9309047000585,2.18063324590697,85
"12","US-Bi1",0.0784032716360512,0.33655912037602,2.46326314487865,34.6451273535676
"13","US-Bi2",0.0774302444563605,0.305326552830324,2.20529605079186,35.5194905346302
"14","US-BRG",0.454301613189707,13.7917070010673,3.75417566985437,47.154691446932
"15","US-CdM",0.0829897141833609,1.62057771864355,2.87258501650163,38.3196579910213
"16","US-CF1",0.173704627488633,1.28270986156895,5.70015600360076,37.5952152061903
"17","US-CF2",0.172159404528621,1.1136357738895,5.6959242428346,37.449786743403
"18","US-CF3",0.164667422081927,0.769267984329505,5.53660695668427,36.6598872459831
"19","US-CF4",0.164140086902634,0.755837228744867,5.5214056596789,36.6023466963441
"20","US-CGG",0.0810548756890698,3.70397414654509,5.54516431972311,44.8956157791287
"21","US-Cop",0.106497490673251,0.599896582323904,2.80857433599596,44.0428291087762
"22","US-CRT",0.240013486023275,1.6641647562164,0.188054426320332,30.1402131237129
"23","US-CS1",0.264526919435234,5.88756765090409,1.11938965906324,82.9978511156006
"24","US-CS2",0.267071432999673,6.02490034540343,1.20607283235963,82.8356017007386
"25","US-CS3",0.265006179593245,5.56890235758532,0.970552333960187,82.9736356796869
"26","US-CS4",0.266528426885673,5.68293657180022,1.07350090952458,82.8741526840221
"27","US-CS5",0.264718931159984,5.87205016976576,1.1025194533844,82.9977834860211
"28","US-CS6",0.291040080280948,6.12740467700969,1.320536257357,79.6251233570144
"29","US-CS8",0.291982513228135,6.2405513920325,1.32508942338451,79.2457527012568
"30","US-Cst",0.359880764429766,13.8137533199636,1.8883551332176,46.2348844167311
"31","US-DFC",0.277625535569124,6.55913085086738,2.54260474282789,47.9953301042493
"32","US-DS3",0.077262100429376,0.293191629734836,1.99142041990653,36.0343324327954
"33","US-Fmf",0.125590244167412,9.75530453185133,2.78779392603364,36.0030131539452
"34","US-Fuf",0.127957673349422,9.56070942916448,2.77739872476534,36.5487914640089
"35","US-Fwf",0.109696352471031,5.66487855304572,3.82877517077756,36.1834557661313
"36","US-GLE",0.246162810749292,8.57449387811639,1.1012949826339,38.0391064449752
"37","US-Ha1",0.495178192171419,17.1200581833158,2.43537935157772,82.8530114856607
"38","US-HB2",0.415751190993043,9.03022321251237,0.820688635109182,51.5502733223664
"39","US-HB3",0.415751190993043,9.24215502299675,0.841605872063911,52.7633302293498
"40","US-Hn2",0.0555974608567717,0.0707564079356446,7.76010222892335,57.2417864069338
"41","US-Hn3",0.0559049169665939,0.0712262762266802,7.79143964430843,57.2233801249801
"42","US-Ho1",0.617788439059642,12.1826372166597,1.18468802815328,83.194016930154
"43","US-Ho2",0.61889032074818,12.2210006438477,1.18787693717586,83.1366003165242
"44","US-HWB",0.4626804659406,13.2709495110143,3.64109703518362,44.03102391724
"45","US-Jo1",0.0691539063360728,0.19557715485569,3.89726351496027,48.4307740418616
"46","US-Jo2",0.0701593935678836,0.219759078273479,3.43204795303307,48.7323454948642
"47","US-KFS",0.213379408862227,3.46437600044105,3.46576947631107,35.0091098067178
"48","US-KLS",0.135897996596775,0.402622512941954,4.36958131558269,38.6048822080622
"49","US-Kon",0.157781539391521,1.00470766422891,5.81837286153369,38.770777193754
"50","US-KS1",NA,2.94953292449495,0.45026136588725,84.6242233780088
"51","US-KS2",NA,3.27666585838894,0.592963162002476,85.2634667597791
"52","US-Lin",0.124648510532636,1.56018343184754,12.5604216373181,45.0574899518716
"53","US-LS2",0.0885595492342277,0.225439946213478,2.06241223215509,52.0338476141445
"54","US-Me1",0.290048319590159,9.28722932661828,2.7503090784646,68.0197776118474
"55","US-Me2",0.313663383676479,10.7884299918798,2.2616153911845,65.7364506226018
"56","US-Me3",0.33127249210824,11.4482078887888,1.72565839455346,62.9585663329244
"57","US-Me6",0.330819197238308,11.5053958928982,1.72593517526907,63.128139477926
"58","US-MMS",0.464611523845185,10.9601652662916,4.3677985217912,47.1264275689861
"59","US-Mo1",0.285744851542111,4.48761222165431,2.23069955774503,43.0607278050725
"60","US-Mo2",0.321077498143243,6.15042937030967,2.56782536626118,43.9939509289711
"61","US-Mo3",0.286024579886407,4.73781679701097,2.23372608961311,43.2691567755613
"62","US-MOz",0.316131877021133,7.43943186697211,3.10088896359097,41.8077768626302
"63","US-Mpj",0.11176537225121,0.578678179641796,3.68144102659482,48.1792927640306
"64","US-NC1",0.327005173713487,9.02200141848038,0.676395974461291,33.1624991939843
"65","US-NC3",0.327794036369963,8.13722297758807,0.455606417279529,32.7529260869627
"66","US-Ne1",0.166327067477872,0.955702246761922,2.52466712875446,35
"67","US-NR1",0.327127119215844,8.52711856758391,0.876379558135881,37.040825716154
"68","US-Oho",0.235841122797452,4.82226883195426,0.355245656105326,70.7480019618747
"69","US-ONA",0.215778655076578,3.28075062385243,0.564383128774565,85.8713136305187
"70","US-PFb",0.46828273242609,13.547840576631,2.32297323079964,80.4377262189777
"71","US-PFc",0.468902526918917,13.4703368949637,2.29203207439897,80.342225055052
"72","US-PFk",0.467452035640564,13.1754281949989,2.3362344138198,80.0892372690569
"73","US-PFL",0.468519459489323,13.3147236418684,2.30430858540813,80.1503695455445
"74","US-PFm",0.468855181506271,13.161501471752,2.28735393488423,79.9292920653296
"75","US-PFn",0.470043120950857,13.2189337961735,2.24114135864928,79.94421517475
"76","US-PFp",0.470826472323737,13.1616552340851,2.20972593385516,79.8162434377995
"77","US-PFq",0.471540957641858,13.0796219326879,2.18533419716215,79.6149938873006
"78","US-PFt",0.472345829656849,13.012036346842,2.15950238258412,79.4115286973657
"79","US-PSH",0.0364938185988307,0.242045485921888,5.67046515366266,39.4308260124181
"80","US-PSL",0.0544291215006922,0.574316744528418,17.9287228427482,45.9412138931107
"81","US-RGA",0.265754419432009,5.24257518401771,0.408933603470432,21.5353489406717
"82","US-RGB",0.0772222516958739,1.38143492042367,1.21258075440539,39.4108808413213
"83","US-RGF",0.070689052318569,0.984773300471608,7.74409977341903,39.6625408904214
"84","US-RGo",0.0695129184931691,1.54021256688111,2.17862879709057,41.3248731886139
"85","US-RGW",0.272664590736222,5.7804034031791,1.17264243616591,22.3635660376935
"86","US-Rls",0.160416580554195,1.56386353609505,3.38970609860791,36.9442324463318
"87","US-Rms",0.178532919035351,2.02891923688856,3.4433375143921,36.2307972352297
"88","US-Ro1",0.26257125117488,4.48733565910838,0.786248755877599,58.9803432829505
"89","US-Ro2",0.26214759682705,4.66244393338737,0.767419784244351,59.6197452560834
"90","US-Ro3",0.262355199829171,4.57673927530349,0.776606128078761,59.3069963656436
"91","US-Ro4",0.263814572940257,4.05844161372436,0.877241116469858,57.2844116109865
"92","US-Ro5",0.26354792467941,4.21695703560705,0.891615592669451,57.7642672674651
"93","US-Ro6",0.263432049357918,4.25916148490546,0.886226892488382,57.9179088690663
"94","US-Rwe",0.178782365319477,2.09030803441933,3.46164585314578,36.1725202189386
"95","US-Rwf",0.166762801811953,1.62507243611074,3.39801653207343,36.6081666267073
"96","US-Rws",0.152950161824441,1.28741230955849,3.30070121509234,37.6795815458956
"97","US-Seg",0.0802768358565525,0.0502136524320577,2.9053271657931,49.6773624133049
"98","US-Ses",0.0775317982096218,0.0476475094895698,2.78375415544948,49.4704925837939
"99","US-Sne",0.0745594881068561,0.808687826321343,4.94120207771821,40.4755338936857
"100","US-Snf",0.0744590427129748,0.691225043010425,4.54927995490921,39.6267026210272
"101","US-SP1",0.307426819776651,12.4020017748471,1.49627938227603,78.9797035754362
"102","US-SRC",0.0690397426533435,0.325077997739098,2.6086052464768,54.5471714595155
"103","US-SRG",0.0778612866023076,0.649241749155071,2.59180533271165,51.3781283649807
"104","US-SRM",0.0736825937148135,0.531082883974443,2.57120742870931,52.8908673313999
"105","US-SRS",0.0739177514469595,0.57283451438911,2.60063940371766,51.6525813794732
