"","Site_ID","n_sample","AI","PFT","latitude","longitude","elevation","AI_level"
"73","US-ONA",2259,0.547871553782321,"GRA",27.3836,-81.9509,25,NA
"74","US-ORv",1947,NA,"WET",40.0201,-83.0183,221,NA
"75","US-Oho",3426,0.992907180725279,"DBF",41.5545,-83.8438,230,"Humid"
"76","US-PFL",114,0,"DBF",45.9409,-90.3177,464,"Hyperarid"
"77","US-PFb",112,0,"ENF",45.972,-90.3232,474,"Hyperarid"
"78","US-PFc",111,0,"DBF",45.9677,-90.3088,473,"Hyperarid"
"79","US-PFd",119,NA,"WET",45.9689,-90.301,473,NA
"80","US-PFk",107,0,"DBF",45.9149,-90.3425,476,"Hyperarid"
"81","US-PFm",116,0,"DBF",45.9207,-90.3099,484,"Hyperarid"
"82","US-PFn",116,0,"DBF",45.9392,-90.2823,478,"Hyperarid"
"83","US-PFp",92,0,"DBF",45.9365,-90.2641,497,"Hyperarid"
"84","US-PFq",112,0,"DBF",45.9271,-90.2475,473,"Hyperarid"
"85","US-PFt",114,0,"ENF",45.9197,-90.2288,466,"Hyperarid"
"86","US-PSH",79,0,"DBF",36.2347,-119.9247,70,"Hyperarid"
"87","US-PSL",93,0,"DBF",36.8276,-120.1397,65,"Hyperarid"
"88","US-Pnp",2153,Inf,"WAT",43.0896,-89.4158,260,"Humid"
"89","US-RGA",858,0.730484406113911,"CRO",34.4159,-91.6733,61,"Humid"
"90","US-RGB",971,0.25255112073841,"CRO",39.5782,-121.8579,33,"Semiarid"
"91","US-RGF",300,0.118973866879055,"CRO",37.6995,-121.1369,16,"Arid"
"92","US-RGW",532,0.841540161856429,"CRO",33.6216,-91.4306,41,"Humid"
"93","US-RGo",812,0.213530879712822,"CRO",39.6805,-122.0026,40,"Semiarid"
"94","US-RRC",452,Inf,"WET",37.3344,-77.2065,0.1,"Humid"
"95","US-Rls",3201,0,"CSH",43.1439,-116.7356,1608,"Hyperarid"
"96","US-Rms",3210,0,"CSH",43.0645,-116.7486,2111,"Hyperarid"
"97","US-Ro1",4573,0.849999137252286,"CRO",44.7143,-93.0898,290,"Humid"
"98","US-Ro2",2230,3.35068149813532,"CRO",44.7288,-93.0888,292,"Humid"
"99","US-Ro3",1284,0.702789771230822,"CRO",44.7217,-93.0893,260,"Humid"
"100","US-Ro4",3490,0.827290428578158,"GRA",44.6781,-93.0723,274,"Humid"
"101","US-Ro5",2550,0.860887445059737,"CRO",44.691,-93.0576,283,"Humid"
"102","US-Ro6",2549,0.930281596607223,"CRO",44.6946,-93.0578,282,"Humid"
"103","US-Rwe",1662,0,"CSH",43.0653,-116.7591,2098,"Hyperarid"
"104","US-Rwf",3277,0,"CSH",43.1207,-116.7231,1878,"Hyperarid"
"105","US-Rws",3267,0,"OSH",43.1675,-116.7132,1425,"Hyperarid"
"106","US-SP1",6714,0,"ENF",29.7381,-82.2188,50,"Hyperarid"
"107","US-SRC",1884,0.177354223557256,"OSH",31.9083,-110.8395,950,"Arid"
"108","US-SRG",5730,0.14943497864265,"GRA",31.7894,-110.8277,1291,"Arid"
"109","US-SRM",7255,0.285703194816768,"WSA",31.8214,-110.8661,1120,"Semiarid"
"110","US-SRS",2688,0.435058798831546,"WSA",31.8173,-110.8508,1169,"Semiarid"
"111","US-SSH",1676,0.949723650783012,"DBF",40.6658,-77.9041,310,"Humid"
"112","US-Seg",5376,0.0997063257887959,"GRA",34.3623,-106.702,1596,"Arid"
"113","US-Ses",5385,0.163840470633567,"OSH",34.3349,-106.7442,1604,"Arid"
"114","US-Sne",1624,0.200686777072429,"GRA",38.0369,-121.7547,-5,"Semiarid"
"115","US-Snf",722,0.237019298233359,"GRA",38.0402,-121.7272,-4,"Semiarid"
"116","US-Srr",1285,NA,"WET",38.2006,-122.0264,8,NA
"117","US-StJ",933,Inf,"WET",39.0882,-75.4372,6.7,"Humid"
"118","US-Syv",5798,0,"MF",46.242,-89.3477,540,"Hyperarid"
"119","US-Ton",8189,0.667942216291472,"WSA",38.4309,-120.966,177,"Humid"
"120","US-Tw1",4404,NA,"WET",38.1074,-121.6469,-5,NA
"121","US-Tw2",354,0,"CRO",38.0969,-121.6365,-5,"Hyperarid"
"122","US-Tw3",1830,0.0196962534427153,"CRO",38.1152,-121.6469,-4,"Hyperarid"
"123","US-Tw4",3671,Inf,"WET",38.1027,-121.6413,-5,"Humid"
"124","US-Tw5",613,NA,"WET",38.1072,-121.6426,-5,NA
"125","US-UC1",1625,1.02283155837413,"CVM",40.7536,-78.0056,390,"Humid"
"126","US-UC2",1609,0.967718398384919,"CVM",40.7559,-77.9998,396,"Humid"
"127","US-UM3",193,NA,"WAT",45.5686,-84.6707,234,NA
"128","US-UMB",5461,0.927988881554992,"DBF",45.5598,-84.7138,234,"Humid"
"129","US-UMd",5967,0,"DBF",45.5625,-84.6975,239,"Hyperarid"
"130","US-UTB",602,Inf,"BSV",40.7848,-113.8299,1287,"Humid"
"131","US-Var",7597,0.258579215275112,"GRA",38.4133,-120.9508,129,"Semiarid"
