"","Site_ID","AI","ER"
"41","US-Hn3",0.000958796782016779,0.00370030991530698
"42","US-Ho1",0.0429319505946624,0.0431236391594225
"43","US-Ho2",0.046085214324627,0.0393127601489255
"44","US-HWB",0.0725210739969052,0.0395334579960002
"45","US-Jo1",NA,0.0167438345286598
"46","US-Jo2",0.0117520691773788,0.0205402574086714
"47","US-KFS",0.026503196257574,0.0214170860241249
"48","US-KLS",0.0146487905548778,0.0113243045563526
"49","US-Kon",0.030476761515443,0.0210994039149742
"50","US-KS1",0.0904943468448952,0.0275416628733073
"51","US-KS2",0.0976458292320254,0.0266081919545539
"52","US-Lin",0.013664141044037,0.0195397515259117
"53","US-LS2",0.00726180223573559,0.0082493592281373
"54","US-Me1",0.0209413727655819,0.0136186475554953
"55","US-Me2",0.0309851834169315,0.0188283197938578
"56","US-Me3",0.0201246610163615,0.0152905160060515
"57","US-Me6",0.0174443647357594,0.0177671360755584
"58","US-MMS",0.117273718925301,0.0882123305934457
"59","US-Mo1",0.0662909090080013,0.0305634931955661
"60","US-Mo2",0.0570874070211966,0.0252932231490627
"61","US-Mo3",0.0704900767321995,0.0360345619938777
"62","US-MOz",0.0521152224546445,0.0311580237926759
"63","US-Mpj",0.0239109024982381,0.0188330052642816
"64","US-NC1",0.0923496195780018,0.0239214620886123
"65","US-NC3",0.161536027661994,0.0326173155913396
"66","US-Ne1",NA,NA
"67","US-NR1",0.0440399018485562,0.0172729333818685
"68","US-Oho",0.0410274817401969,0.0263888130017193
"69","US-ONA",0.0527805469815029,0.021124118057084
"70","US-PFb",NA,NA
"71","US-PFc",NA,NA
"72","US-PFk",NA,NA
"73","US-PFL",NA,NA
"74","US-PFm",NA,NA
"75","US-PFn",NA,NA
"76","US-PFp",NA,NA
"77","US-PFq",NA,NA
"78","US-PFt",NA,NA
"79","US-PSH",NA,NA
"80","US-PSL",NA,NA
"81","US-RGA",0.0373959889979989,0.0307953609674558
"82","US-RGB",0.0100771121413696,0.00992829436455673
"83","US-RGF",0.00492634401142333,0.00369275944641427
"84","US-RGo",0.00965374841146468,0.0134273197117508
"85","US-RGW",0.0567257277929679,0.0289873292072749
"86","US-Rls",NA,NA
"87","US-Rms",NA,NA
"88","US-Ro1",0.0652395628992703,0.0304275728815921
"89","US-Ro2",0.0979211119706591,0.030019003903174
"90","US-Ro3",0.0547469058326865,0.0290673111629124
"91","US-Ro4",0.0419260876120743,0.0453926213065416
"92","US-Ro5",0.0661589647879228,0.0409959284527373
"93","US-Ro6",0.0648041300382125,0.0339493835893235
"94","US-Rwe",NA,NA
"95","US-Rwf",NA,NA
"96","US-Rws",NA,NA
"97","US-Seg",0.00620996230190948,0.0212170509156219
"98","US-Ses",0.00918502778688525,0.0201880062243334
"99","US-Sne",0.0174949096327589,0.0060278583773838
"100","US-Snf",0.0115630249662296,0.00913586069585224
"101","US-SP1",NA,NA
"102","US-SRC",0.0105910716051798,0.022070184165189
"103","US-SRG",0.00946233771910994,0.0201280512872923
"104","US-SRM",0.0178412404045636,0.0216671052878082
"105","US-SRS",0.0229181001419729,0.0212341820261998
"106","US-SSH",0.0627384669661535,0.0393492799563471
"107","US-Syv",NA,NA
"108","US-Ton",0.0383328144374891,0.0291029432177844
"109","US-Tw2",NA,NA
"110","US-Tw3",0.00774166288936602,0.00381739390211325
"111","US-UC1",0.087255242184052,0.042287339894473
"112","US-UC2",0.0835281136712731,0.0397533438837725
"113","US-UMB",0.0483398498146554,0.0311400043666898
"114","US-UMd",NA,NA
"115","US-UTB",0.00827692631548033,0.00737669964398156
"116","US-Var",0.0204027199637761,0.038426977203381
"117","US-Vcm",0.026036727537499,0.0204220405411272
"118","US-Vcp",0.0198071412955543,0.0163822132213205
"119","US-Whs",0.0140758150668855,0.0225844643748261
"120","US-Wi0",0.0911238011526289,0.0295860715453194
"121","US-Wi1",0.018527095991608,0.010686571290431
"122","US-Wi3",0.0436933203854785,0.0223641490692153
"123","US-Wi4",0.0565786275565379,0.0269338468009116
"124","US-Wi5",0.0532512092145719,0.0292740634143246
"125","US-Wi6",0.101529704159191,0.0386445616735753
"126","US-Wi7",0.129739452130231,0.0382556224501203
"127","US-Wi8",0.0774203037505897,0.0374032726639302
"128","US-Wi9",0.0660004517612905,0.0306876085369512
"129","US-Wjs",0.00855515385405845,0.0189421162438319
"130","US-Wkg",0.0107232642608463,0.021849204139685
"131","US-xAB",0.132075396763533,0.103986952081144
"132","US-xAE",0.0491332471181523,0.0571285949976324
"133","US-xBL",0.0500813589720964,0.0382872368959379
"134","US-xBR",0.0480469945983319,0.0443507173637563
"135","US-xCL",0.0170865812420734,0.0455125070133054
"136","US-xCP",0.0351927555841909,0.0361613242349168
"137","US-xDC",0.0198764503298641,0.0190917527588924
"138","US-xDL",0.0613671449027324,0.0346353001194535
"139","US-xDS",0.0502339811176928,0.0403198764694543
"140","US-xGR",0.0553400293735575,0.0396377878865881
"141","US-xHA",0.0511168592268576,0.0571460314318391
"142","US-xJE",0.054482549404767,0.0384604485977935
"143","US-xJR",0.00650364919354957,0.0159448698776743
"144","US-xKA",0.0345091261154539,0.0402274926297653
"145","US-xKZ",0.0285758858013877,0.0302661071379534
"146","US-xMB",0.00948534469675268,0.0157078071677933
"147","US-xML",0.0447155421324969,0.0572856494497481
"148","US-xNG",0.00877572704788877,0.00904822048870782
"149","US-xNQ",0.0143614482847143,0.0371216829408554
"150","US-xRM",0.015071609466621,0.0127436555678441
"151","US-xSB",0.0576657913055669,0.0430187178296506
"152","US-xSC",0.0151172602720948,0.0353153130989182
"153","US-xSE",0.051578555121181,0.0476720515647268
"154","US-xSJ",0.0166712779357798,0.0584169154069404
"155","US-xSL",0.0136970363108342,0.02104497922917
"156","US-xSR",0.00627856263095259,0.018861400963939
"157","US-xST",0.0512957859892227,0.0336096739852723
"158","US-xTA",0.0492258284708771,0.0420190867044174
"159","US-xTR",0.0517259912609678,0.0333397879108859
"160","US-xUK",0.0293491814704308,0.0381374716315217
"161","US-xUN",0.0457598940062735,0.0365399271110469
"162","US-xWD",1.51001860351208,1.6871611286609
"163","US-xYE",0.0237920600539897,0.019044014852582
