,fileName,Lag_days,TE_bits,TEcrit,Hy_bits,TE_perc_uncertainty_reduction,TE_relative,Significance
0,1.0,0,0.10403543716490482,0.10959983032326943,2.728979132468591,3.8122474418042187,-0.005564393158364614,False
1,1.0,1,0.09306000427814265,0.10936052744369301,2.728694606236481,3.41042211412931,-0.016300523165550362,False
2,1.0,2,0.09463929542610394,0.10947480175337881,2.7285059765505575,3.46853905541923,-0.014835506327274872,False
3,1.0,3,0.08612103775753344,0.10941195321055117,2.728143929728095,3.1567629852328514,-0.02329091545301773,False
4,1.0,4,0.09126722460220993,0.10995977896433376,2.7282135953763222,3.3453108201237,-0.01869255436212383,False
5,1.0,5,0.09057957776743919,0.10999972055740806,2.727907227110513,3.320478675639713,-0.01942014278996887,False
6,1.0,6,0.09809162729053966,0.11013985213332363,2.727600109095056,3.5962613054405477,-0.012048224842783964,False
7,1.0,7,0.09234535039520786,0.10982001292163551,2.727405518435592,3.385831324715368,-0.017474662526427653,False
8,1.0,8,0.08631763986607677,0.10958595310204168,2.7272152805501806,3.1650467963300386,-0.023268313235964913,False
9,1.0,9,0.09630671901948062,0.11044359329576743,2.7271295748674556,3.5314317261276935,-0.014136874276286807,False
10,1.0,10,0.08842458867562453,0.10979268201818927,2.7270431468677336,3.242507870738624,-0.021368093342564745,False
11,1.0,11,0.09263840055090178,0.11023045268037043,2.726852381151225,3.397264963488475,-0.017592052129468655,False
12,1.0,12,0.08601660151079393,0.11037365988139407,2.726765218700991,3.154529070594921,-0.024357058370600135,False
13,1.0,13,0.09143688742703038,0.10962635158666897,2.7266361687852223,3.3534685879182615,-0.018189464159638596,False
14,1.0,14,0.08897214504863449,0.11014765477118599,2.7263895550725623,3.2633687611918143,-0.0211755097225515,False
15,1.0,15,0.09460616258062338,0.10989902556372014,2.726337810246243,3.4700821822251933,-0.015292862983096761,False
16,1.0,16,0.09447208893457759,0.10999341016312879,2.725948453584921,3.4656594041731212,-0.015521321228551196,False
17,1.0,17,0.09230364429480176,0.10955899201327957,2.725701087442299,3.386418441848156,-0.01725534771847781,False
18,1.0,18,0.0875731428821025,0.10996885164999506,2.725505749087201,3.21309697884261,-0.02239570876789257,False
19,1.0,19,0.09163860983717331,0.11002516034132516,2.7252576687116186,3.3625668093430594,-0.018386550504151847,False
20,1.0,20,0.08760480562023787,0.10974298636888079,2.725066183182911,3.214777173518567,-0.02213818074864292,False
21,1.0,21,0.08601591518054708,0.11028177041478435,2.724870264145053,3.1566976348334572,-0.02426585523423727,False
22,1.0,22,0.08450683307155948,0.11005615556188802,2.7244792520567924,3.101760933131082,-0.02554932249032854,False
23,1.0,23,0.08942949945104495,0.11024686389819549,2.723895389018691,3.2831473562302538,-0.020817364447150544,False
24,1.0,24,0.09218101232102072,0.11008717375207498,2.7233080092579205,3.384891169403174,-0.017906161431054265,False
25,1.0,25,0.09016573940825356,0.11013813220208322,2.722637373911412,3.3117057847009246,-0.01997239279382966,False
26,1.0,26,0.08543275004516904,0.11006496290131709,2.722440622010811,3.1380941554592248,-0.024632212856148056,False
27,1.0,27,0.09208400882593004,0.10981792700571408,2.722248265881975,3.3826455132701114,-0.017733918179784036,False
28,1.0,28,0.08928230886601263,0.11013740351883713,2.721999027616894,3.280027213829652,-0.020855094652824507,False
29,1.0,29,0.08684550972698002,0.11047599538318303,2.7218295742371237,3.1907034352553514,-0.023630485656203015,False
30,1.0,30,0.08998215315612157,0.11000793666582434,2.7216596669880153,3.3061500762768885,-0.02002578350970277,False
31,1.0,31,0.09042820889689285,0.11017011749958083,2.7214096817396003,3.3228443884674004,-0.019741908602687985,False
32,1.0,32,0.08817654189036706,0.10991088692312799,2.7210166159405054,3.2405734450059316,-0.021734345032760935,False
33,1.0,33,0.0857557117160681,0.1100528795823672,2.7206221576559773,3.1520625337387225,-0.024297167866299096,False
34,1.0,34,0.08570738026407554,0.11027746421042621,2.720451663151319,3.1504834812905202,-0.02457008394635067,False
35,1.0,35,0.09030208939221218,0.11011675114474688,2.7202008343404054,3.3196846443181336,-0.0198146617525347,False
36,1.0,36,0.08331330130396175,0.11047827490467593,2.7194917705490687,3.0635614421124244,-0.027164973600714182,False
37,1.0,37,0.091445671418934,0.1103111521918434,2.7192859469357966,3.36285602924469,-0.018865480772909393,False
38,1.0,38,0.08700486677462038,0.11015131931996752,2.719088235376611,3.1997809281304788,-0.02314645254534714,False
39,1.0,39,0.09047147642280517,0.11067269394511388,2.718764501420333,3.327668739809616,-0.020201217522308704,False
40,1.0,40,0.08805415656211668,0.11045478784331783,2.7180870237625343,3.239563553054567,-0.02240063128120115,False
41,1.0,41,0.09284861652094811,0.11034052924171349,2.717490951917414,3.4167037963985036,-0.017491912720765376,False
42,1.0,42,0.08849144464488745,0.11045204391566578,2.7172924908003964,3.256603584063257,-0.021960599270778328,False
43,1.0,43,0.08873906585960434,0.11030133432470159,2.7172163444791297,3.2658078934312815,-0.021562268465097248,False
44,1.0,44,0.09449691648310843,0.11040240130342367,2.7171339965626236,3.477815838403776,-0.015905484820315244,False
45,1.0,45,0.09568991287151718,0.11030719241648405,2.717051371139313,3.52182935839717,-0.014617279544966874,False
46,1.0,46,0.09813053022605978,0.11048195063485507,2.7169972258973054,3.6117272881517772,-0.012351420408795291,False
47,1.0,47,0.09035001992641956,0.11039961106233771,2.716798197374063,3.325606591382013,-0.020049591135918157,False
48,1.0,48,0.09298855417385976,0.11020571049951366,2.716197984856376,3.4234821869502525,-0.017217156325653904,False
